feature,pearson,spearman
ema200_side,0.335095,0.247436
dist_ema200,0.234692,-0.375597
dist_ema50,-0.141679,0.309596
ema50_slope,-0.029603,0.27197
ema200_slope,-0.131162,-0.503353
atr_percentile,0.279507,0.266863
atr_state,-0.234734,-0.283197
realized_vol_20,0.445244,0.58025
bb_width_pct,0.265634,0.257355
rsi_bucket,-0.399815,-0.500217
macd_hist_bucket,0.315743,0.394824
adx_bucket,-0.737458,-0.666848
roc10_bucket,0.143319,0.718895
roc20_bucket,-0.154338,0.112627
vwap_side,NaN,NaN
dist_vwap,-0.110481,0.017043
vwap_slope,0.018455,0.062789
higher_high,-0.250343,-0.120412
higher_low,-0.335095,-0.247436
lower_high,0.015156,-0.078969
lower_low,NaN,NaN
swing_distance,-0.058971,0.317761
gap_pct_bucket,0.001728,0.021739
or_position,-0.1785,-0.105297
inside_or,NaN,NaN
hour,-0.015171,0.028223
day_of_week,-0.122921,-0.127205
month,-0.276304,-0.601948
quarter,-0.271206,-0.594235
