rank,feature,bucket,sample_size,win_rate,expectancy,profit_factor,sharpe,score
1,dist_ema50,0% to 1%,48,1.0,0.593863,0.0,2.590969,0.511052
2,vwap_side,Above VWAP,48,1.0,0.593863,0.0,2.590969,0.511052
3,lower_low,No Lower Low,48,1.0,0.593863,0.0,2.590969,0.511052
4,or_position,Above OR High,48,1.0,0.593863,0.0,2.590969,0.511052
5,inside_or,Outside Opening Range,48,1.0,0.593863,0.0,2.590969,0.511052
6,ema200_side,Below EMA200,47,1.0,0.582777,0.0,2.669762,0.499273
7,dist_ema200,-2% to 0%,47,1.0,0.582777,0.0,2.669762,0.499273
8,ema50_slope,Flat (-0.1% to 0.1%),47,1.0,0.582777,0.0,2.669762,0.499273
9,ema200_slope,Falling (<-0.05%),47,1.0,0.582777,0.0,2.669762,0.499273
10,atr_state,Neutral,47,1.0,0.582777,0.0,2.669762,0.499273
11,realized_vol_20,<0.5% (Very Low),47,1.0,0.582777,0.0,2.669762,0.499273
12,adx_bucket,35+ (Very Strong),47,1.0,0.582777,0.0,2.669762,0.499273
13,roc10_bucket,0% to 1%,47,1.0,0.582777,0.0,2.669762,0.499273
14,roc20_bucket,0% to 2%,47,1.0,0.582777,0.0,2.669762,0.499273
15,higher_low,Higher Low,47,1.0,0.582777,0.0,2.669762,0.499273
16,swing_distance,80-100% (Near High),47,1.0,0.582777,0.0,2.669762,0.499273
17,rsi_bucket,70-100 (Overbought),47,1.0,0.593361,0.0,2.561387,0.473096
18,lower_high,No Lower High,47,1.0,0.593361,0.0,2.561387,0.473096
19,higher_high,Higher High,46,1.0,0.582023,0.0,2.637909,0.456464
20,gap_pct_bucket,Flat (-0.3% to 0.3%),46,1.0,0.581675,0.0,2.637171,0.452469
21,bb_width_pct,40-60 (Average),38,1.0,0.570031,0.0,2.471017,0.159103
22,atr_percentile,60-80 (High),41,1.0,0.560845,0.0,2.500015,0.108375
23,vwap_slope,Rising (>0.05%),39,1.0,0.567406,0.0,2.404013,0.059613
