feature,bucket,sample_size,low_sample_size,win_rate,average_return,median_return,expectancy,profit_factor,sharpe,maximum_drawdown
ema200_side,Above EMA200,1,true,1.0,1.114901,1.114901,1.114901,,0.0,0.0
ema200_side,Below EMA200,47,false,1.0,0.582777,0.663862,0.582777,,2.669762,0.0
dist_ema200,-2% to 0%,47,false,1.0,0.582777,0.663862,0.582777,,2.669762,0.0
dist_ema200,0% to 2%,1,true,1.0,1.114901,1.114901,1.114901,,0.0,0.0
dist_ema50,0% to 1%,48,false,1.0,0.593863,0.666462,0.593863,,2.590969,0.0
ema50_slope,Flat (-0.1% to 0.1%),47,false,1.0,0.582777,0.663862,0.582777,,2.669762,0.0
ema200_slope,Falling (<-0.05%),47,false,1.0,0.582777,0.663862,0.582777,,2.669762,0.0
atr_percentile,60-80 (High),41,false,1.0,0.560845,0.639052,0.560845,,2.500015,0.0
atr_percentile,80-100 (Very High),6,true,1.0,0.732642,0.72783,0.732642,,10.504222,0.0
atr_state,Neutral,47,false,1.0,0.582777,0.663862,0.582777,,2.669762,0.0
realized_vol_20,<0.5% (Very Low),47,false,1.0,0.582777,0.663862,0.582777,,2.669762,0.0
bb_width_pct,20-40 (Narrow),6,true,1.0,0.605727,0.660727,0.605727,,3.275068,0.0
bb_width_pct,40-60 (Average),38,false,1.0,0.570031,0.650824,0.570031,,2.471017,0.0
bb_width_pct,60-80 (Wide),3,true,1.0,0.698324,0.697205,0.698324,,19.932548,0.0
rsi_bucket,60-70,1,true,1.0,0.617429,0.617429,0.617429,,0.0,0.0
rsi_bucket,70-100 (Overbought),47,false,1.0,0.593361,0.669061,0.593361,,2.561387,0.0
macd_hist_bucket,20-40 (Weak Negative),3,true,1.0,0.646294,0.64545,0.646294,,22.060613,0.0
macd_hist_bucket,40-60 (Near Zero),1,true,1.0,0.709447,0.709447,0.709447,,0.0,0.0
macd_hist_bucket,60-80 (Weak Positive),17,true,1.0,0.372318,0.240256,0.372318,,1.578592,0.0
macd_hist_bucket,80-100 (Strong Positive),27,true,1.0,0.723247,0.697205,0.723247,,7.105274,0.0
adx_bucket,0-15 (Weak),1,true,1.0,1.114901,1.114901,1.114901,,0.0,0.0
adx_bucket,35+ (Very Strong),47,false,1.0,0.582777,0.663862,0.582777,,2.669762,0.0
roc10_bucket,0% to 1%,47,false,1.0,0.582777,0.663862,0.582777,,2.669762,0.0
roc20_bucket,0% to 2%,47,false,1.0,0.582777,0.663862,0.582777,,2.669762,0.0
vwap_side,Above VWAP,48,false,1.0,0.593863,0.666462,0.593863,,2.590969,0.0
dist_vwap,0% to 0.5%,21,true,1.0,0.599197,0.662596,0.599197,,2.452206,0.0
dist_vwap,0.5% to 2%,27,true,1.0,0.589714,0.669061,0.589714,,2.664122,0.0
vwap_slope,Flat (-0.05% to 0.05%),8,true,1.0,0.657709,0.642251,0.657709,,12.048089,0.0
vwap_slope,Rising (>0.05%),39,false,1.0,0.567406,0.669061,0.567406,,2.404013,0.0
higher_high,Higher High,46,false,1.0,0.582023,0.666462,0.582023,,2.637909,0.0
higher_high,No Higher High,2,true,1.0,0.866165,0.866165,0.866165,,2.462334,0.0
higher_low,Higher Low,47,false,1.0,0.582777,0.663862,0.582777,,2.669762,0.0
higher_low,No Higher Low,1,true,1.0,1.114901,1.114901,1.114901,,0.0,0.0
lower_high,Lower High,1,true,1.0,0.617429,0.617429,0.617429,,0.0,0.0
lower_high,No Lower High,47,false,1.0,0.593361,0.669061,0.593361,,2.561387,0.0
lower_low,No Lower Low,48,false,1.0,0.593863,0.666462,0.593863,,2.590969,0.0
swing_distance,80-100% (Near High),47,false,1.0,0.582777,0.663862,0.582777,,2.669762,0.0
gap_pct_bucket,Flat (-0.3% to 0.3%),46,false,1.0,0.581675,0.666462,0.581675,,2.637171,0.0
gap_pct_bucket,Small Gap Down (-1% to -0.3%),1,true,1.0,0.633437,0.633437,0.633437,,0.0,0.0
or_position,Above OR High,48,false,1.0,0.593863,0.666462,0.593863,,2.590969,0.0
inside_or,Outside Opening Range,48,false,1.0,0.593863,0.666462,0.593863,,2.590969,0.0
hour,01,3,true,1.0,0.661166,0.662596,0.661166,,13.489783,0.0
hour,02,2,true,1.0,0.444505,0.444505,0.444505,,1.391687,0.0
hour,03,3,true,1.0,0.593999,0.733904,0.593999,,1.922503,0.0
hour,05,2,true,1.0,0.416483,0.416483,0.416483,,1.323355,0.0
hour,06,4,true,1.0,0.587485,0.693105,0.587485,,2.369697,0.0
hour,07,1,true,1.0,0.760642,0.760642,0.760642,,0.0,0.0
hour,09,2,true,1.0,0.865699,0.865699,0.865699,,2.456415,0.0
hour,10,5,true,1.0,0.523756,0.669061,0.523756,,1.84734,0.0
hour,11,2,true,1.0,0.767031,0.767031,0.767031,,14.258544,0.0
hour,12,1,true,1.0,0.617429,0.617429,0.617429,,0.0,0.0
hour,13,1,true,1.0,0.633437,0.633437,0.633437,,0.0,0.0
hour,14,3,true,1.0,0.553396,0.689922,0.553396,,1.876465,0.0
hour,15,3,true,1.0,0.614917,0.770327,0.614917,,1.897995,0.0
hour,16,1,true,1.0,0.64545,0.64545,0.64545,,0.0,0.0
hour,17,1,true,1.0,0.61042,0.61042,0.61042,,0.0,0.0
hour,18,2,true,1.0,0.694672,0.694672,0.694672,,15.943394,0.0
hour,19,3,true,1.0,0.427103,0.256974,0.427103,,1.330593,0.0
hour,21,3,true,1.0,0.632603,0.633379,0.632603,,14.445012,0.0
hour,22,2,true,1.0,0.668128,0.668128,0.668128,,16.248187,0.0
hour,23,4,true,1.0,0.526681,0.511171,0.526681,,1.6335,0.0
day_of_week,Friday,6,true,1.0,0.53474,0.640387,0.53474,,2.164947,0.0
day_of_week,Monday,8,true,1.0,0.602578,0.677152,0.602578,,2.518367,0.0
day_of_week,Saturday,7,true,1.0,0.639789,0.697205,0.639789,,3.371876,0.0
day_of_week,Sunday,6,true,1.0,0.469787,0.436629,0.469787,,1.75213,0.0
