trade_id,entry_time,exit_time,starting_equity,position_size,return_pct,pnl,ending_equity,drawdown
1,2020-01-02T09:45:00.000000,2020-01-04T16:15:00.000000,25000.0,25000.0,4.3001513020874516,1075.037825521863,26075.037825521864,0.0
2,2020-01-07T23:45:00.000000,2020-01-11T06:45:00.000000,26075.037825521864,26075.037825521864,8.531802198408478,2224.6706504337167,28299.70847595558,0.0
3,2020-01-14T11:45:00.000000,2020-01-17T20:45:00.000000,28299.70847595558,28299.70847595558,8.526771915477017,2413.0515944896497,30712.76007044523,0.0
4,2020-01-20T23:45:00.000000,2020-01-24T08:45:00.000000,30712.76007044523,30712.76007044523,8.21749296467984,2523.818898047836,33236.578968493064,0.0
5,2020-01-27T15:15:00.000000,2020-01-30T21:15:00.000000,33236.578968493064,33236.578968493064,8.367000083620969,2780.904590086564,36017.483558579625,0.0
6,2020-02-03T03:45:00.000000,2020-02-06T11:45:00.000000,36017.483558579625,36017.483558579625,8.238764111002217,2967.395509110382,38984.87906769001,0.0
7,2020-02-09T15:45:00.000000,2020-02-13T01:15:00.000000,38984.87906769001,38984.87906769001,7.788783560159751,3036.4478517723996,42021.32691946241,0.0
8,2020-02-16T03:45:00.000000,2020-02-19T12:15:00.000000,42021.32691946241,42021.32691946241,8.082533215073685,3396.387705680249,45417.71462514266,0.0
9,2020-02-22T19:15:00.000000,2020-02-26T02:15:00.000000,45417.71462514266,45417.71462514266,8.089284454121115,3673.9681285887573,49091.68275373142,0.0
10,2020-02-29T07:15:00.000000,2020-03-03T16:15:00.000000,49091.68275373142,49091.68275373142,8.087720924978425,3970.3982984975605,53062.081052228976,0.0
11,2020-03-06T19:45:00.000000,2020-03-10T04:15:00.000000,53062.081052228976,53062.081052228976,7.726731941727549,4099.964765607938,57162.045817836915,0.0
12,2020-03-13T10:45:00.000000,2020-03-16T16:45:00.000000,57162.045817836915,57162.045817836915,7.94275078850557,4540.238844922157,61702.28466275907,0.0
13,2020-03-19T23:15:00.000000,2020-03-23T07:15:00.000000,61702.28466275907,61702.28466275907,7.824815223931014,4828.089763804823,66530.3744265639,0.0
14,2020-03-26T11:15:00.000000,2020-03-29T21:15:00.000000,66530.3744265639,66530.3744265639,7.349266928024534,4889.494804822352,71419.86923138626,0.0
15,2020-04-01T23:45:00.000000,2020-04-05T07:45:00.000000,71419.86923138626,71419.86923138626,7.613917814593396,5437.8501465678255,76857.71937795408,0.0
16,2020-04-08T14:45:00.000000,2020-04-11T21:45:00.000000,76857.71937795408,76857.71937795408,7.691680626608188,5911.6503114469815,82769.36968940106,0.0
17,2020-04-15T03:15:00.000000,2020-04-18T11:45:00.000000,82769.36968940106,82769.36968940106,7.6222057054011305,6308.851618790082,89078.22130819115,0.0
18,2020-04-21T15:15:00.000000,2020-04-25T00:15:00.000000,89078.22130819115,89078.22130819115,7.3061252380959285,6508.166408644698,95586.38771683584,0.0
19,2020-04-28T06:15:00.000000,2020-05-01T12:15:00.000000,95586.38771683584,95586.38771683584,7.560652329102169,7226.954449217578,102813.34216605342,0.0
20,2020-05-04T18:45:00.000000,2020-05-08T02:45:00.000000,102813.34216605342,102813.34216605342,7.451683376362017,7661.324726870003,110474.66689292343,0.0
21,2020-05-11T06:45:00.000000,2020-05-14T16:45:00.000000,110474.66689292343,110474.66689292343,7.449020578960397,8229.280671391814,118703.94756431524,0.0
22,2020-05-17T19:15:00.000000,2020-05-21T03:45:00.000000,118703.94756431524,118703.94756431524,7.212511471089367,8561.535834712144,127265.48339902738,0.0
23,2020-05-24T10:45:00.000000,2020-05-27T17:15:00.000000,127265.48339902738,127265.48339902738,7.261850501026457,9241.829143846011,136507.31254287338,0.0
24,2020-05-30T22:45:00.000000,2020-06-03T07:15:00.000000,136507.31254287338,136507.31254287338,7.269069357605118,9922.811226944257,146430.12376981764,0.0
25,2020-06-06T10:45:00.000000,2020-06-09T19:45:00.000000,146430.12376981764,146430.12376981764,6.969880266057671,10206.004300196342,156636.12807001398,0.0
26,2020-06-13T01:45:00.000000,2020-06-16T07:45:00.000000,156636.12807001398,156636.12807001398,7.2147150507643865,11300.850306801878,167936.97837681585,0.0
27,2020-06-19T14:15:00.000000,2020-06-22T22:15:00.000000,167936.97837681585,167936.97837681585,7.113610107852497,11946.381868635235,179883.3602454511,0.0
28,2020-06-26T02:45:00.000000,2020-06-29T12:15:00.000000,179883.3602454511,179883.3602454511,7.049163788031887,12680.272691117287,192563.63293656838,0.0
29,2020-07-02T14:45:00.000000,2020-07-05T23:15:00.000000,192563.63293656838,192563.63293656838,6.889256233517038,13266.202085569406,205829.8350221378,0.0
30,2020-07-09T06:15:00.000000,2020-07-12T12:15:00.000000,205829.8350221378,205829.8350221378,6.980851130757348,14368.67436557889,220198.50938771668,0.0
31,2020-07-15T18:15:00.000000,2020-07-19T02:45:00.000000,220198.50938771668,220198.50938771668,6.9482351561609645,15299.910242619731,235498.4196303364,0.0
32,2020-07-22T06:15:00.000000,2020-07-25T15:15:00.000000,235498.4196303364,235498.4196303364,6.664194030471471,15694.071622859532,251192.49125319594,0.0
33,2020-07-28T21:15:00.000000,2020-08-01T03:15:00.000000,251192.49125319594,251192.49125319594,6.900032808811618,17332.364309741773,268524.85556293774,0.0
34,2020-08-04T10:15:00.000000,2020-08-07T17:15:00.000000,268524.85556293774,268524.85556293774,6.783755754157794,18216.070340594695,286740.9259035324,0.0
35,2020-08-10T22:15:00.000000,2020-08-14T07:45:00.000000,286740.9259035324,286740.9259035324,6.746484638977335,19344.932519743197,306085.85842327564,0.0
36,2020-08-17T10:15:00.000000,2020-08-20T18:45:00.000000,306085.85842327564,306085.85842327564,6.594625899754214,20185.21729506635,326271.075718342,0.0
37,2020-08-24T01:45:00.000000,2020-08-27T07:45:00.000000,326271.075718342,326271.075718342,6.684762594660287,21810.446826815467,348081.52254515747,0.0
38,2020-08-30T13:45:00.000000,2020-09-02T22:15:00.000000,348081.52254515747,348081.52254515747,6.655460445646422,23166.428051596788,371247.95059675426,0.0
39,2020-09-06T02:15:00.000000,2020-09-09T11:15:00.000000,371247.95059675426,371247.95059675426,6.285792171460303,23335.874615317593,394583.8252120719,0.0
40,2020-09-12T16:45:00.000000,2020-09-15T22:45:00.000000,394583.8252120719,394583.8252120719,6.612548564800957,26092.047070997578,420675.8722830695,0.0
41,2020-09-19T05:45:00.000000,2020-09-22T12:45:00.000000,420675.8722830695,420675.8722830695,6.503565801638533,27358.9321655463,448034.80444861576,0.0
42,2020-09-25T17:45:00.000000,2020-09-29T03:15:00.000000,448034.80444861576,448034.80444861576,6.469623781285749,28986.166257044748,477020.9707056605,0.0
43,2020-10-02T05:45:00.000000,2020-10-05T14:15:00.000000,477020.9707056605,477020.9707056605,6.324975202198191,30171.458106418126,507192.42881207867,0.0
44,2020-10-08T21:15:00.000000,2020-10-12T03:15:00.000000,507192.42881207867,507192.42881207867,6.413625607199669,32529.42349206943,539721.8523041481,0.0
45,2020-10-15T09:45:00.000000,2020-10-18T17:45:00.000000,539721.8523041481,539721.8523041481,6.328403269876093,34155.77534945153,573877.6276535997,0.0
46,2020-10-21T21:45:00.000000,2020-10-25T06:45:00.000000,573877.6276535997,573877.6276535997,6.034480327234815,34630.53254315833,608508.1601967581,0.0
47,2020-10-28T12:15:00.000000,2020-10-31T18:15:00.000000,608508.1601967581,608508.1601967581,6.348878311419792,38633.44260595158,647141.6028027097,0.0
48,2020-11-04T01:15:00.000000,2020-11-07T08:15:00.000000,647141.6028027097,647141.6028027097,6.246425686504931,40423.21930552817,687564.8221082379,0.0
